Block group id,OBJECTID,EnviroAtlas Community Code,Value of hospital admissions avoided due to nitrogen dioxide removed ($/yr),Asthma exacerbation avoided due to nitrogen dioxide removed (cases/yr),Value of asthma exacerbation cases avoided due to nitrogen dioxide removed ($/yr),Acute respiratory symptoms avoided due to ozone removed (cases/yr),Value of mortality avoided due to ozone removed ($/yr),Acute respiratory symptoms avoided due to particulate matter [PM2.5] removed (cases/yr),Value of mortality avoided due to particulate matter [PM2.5] removed ($/yr),Asthma exacerbation avoided due to sulfur dioxide removed (cases/yr),Value of asthma exacerbation cases avoided due to sulfur dioxide removed ($/yr),Value of hospital admissions avoided due to sulfur dioxide removed ($/yr),Total Population,Population under 1 year old,Percent population under 1 year old,Population under 13 years old,Percent population under 13 years old,Population over 70 years old,Percent population over 70 years old,"Population other than White, non-Hispanic","Percent population other than White, non-Hispanic",Population with income below twice the US poverty level,Percent population with income below twice the US poverty level,Total carbon stored (kg),Total carbon sequestered (kg/yr),Value of carbon stored ($),Value of carbon sequestered ($/yr),Average reduction in nighttime ambient temperature (Celsius),Average reduction in daytime ambient temperature (Celsius),Carbon monoxide (kg/yr),Nitrogen dioxide (kg/yr),Ozone (kg/yr),Particulate matter [PM2.5] (kg/yr),Sulfur dioxide (kg/yr),Particulate matter [PM10] (kg/yr),"Value of health, ecosystem, and materials damage avoided due to particulate matter [PM10] removed ($/yr)","Value of health, ecosystem, and materials damage avoided due to carbon monoxide removed ($/yr)",Percent annual reduction in streamflow,Reduction in annual runoff (m3/yr),Reduction in median load of total suspended solids [TSS] (kg/yr),Reduction in median biochemical oxygen demand [BOD5] (kg/yr),Reduction in median chemical oxygen demand [COD] (kg/yr),Reduction in median load of total phosphorus (kg/yr),Reduction in mean chemical oxygen demand [COD] (kg/yr),Reduction in mean load of nitrites and nitrates (kg/yr),Total carbon stored (mt),Total carbon sequestered by tree cover (mt/yr),Percent tree cover,Percent impervious area,Percent green space,Percent wetlands,Tree cover per capita (m2/person),Impervious area per capita (m2/person),Green space per capita (m2/person),Total land area in 15m buffer (m2).1,Percent vegetated cover in 15m buffer.1,Residential population within 300m of busy roadway with < 25 percent tree buffer,Residential population within 300m of busy roadway with > 25 percent tree buffer,Residential population within 300m of busy roadway,Percent of residential population within 300m of busy roadway,Percent of busy roadway bordered by > 25 percent tree buffer,Percent of busy roadway bordered by < 25 percent tree buffer,Residential population within 500m of a park entrance,Residential population not within 500m of a park entrance,Percent of residential population within 500m of a park entrance,Percent of residential population not within 500m of a park entrance,Percent carbon monoxide removed annually by tree cover,Percent nitrogen dioxide removed annually by tree cover,Percent ozone removed annually by tree cover,Percent particulate matter [PM10] removed annually by tree cover,Percent particulate matter [PM2.5] removed annually by tree cover,Percent sulfur dioxide removed annually by tree cover,Daily domestic use (x1000 gal/day),bgrp,EnviroAtlas Community Name,State FIPS,County FIPS,Tract FIPS,ORIG_FID
060371907001,41030,LACA,65.04,0.52,43.92,1.08,2436.33,0.14,2439.03,0.01,0.53,2.39,1531,8,0.52,60,3.92,206,13.46,788,51.47,590,70.41,251539.9,12724.19,19745.88,998.85,0.16,0.18,10.76,87.93,178.45,3.24,5.78,79.32,562.95,16.25,0.29,345.61,18.84,3.97,15.45,0.09,18.25,0.23,251.54,12.72,9.29,89.02,10.96,0.0,21,205,25,0,-99999.0,1413,17,1430,93.4,8.08,91.92,1022,509,66.75,33.25,0.0,0.09,0.13,0.32,0.01,0.09,113.29,60371907001,"Los Angeles, CA",6,37,190700,40970
060371907002,41031,LACA,30.77,0.25,20.78,0.51,1152.65,0.07,1153.91,0.0,0.25,1.13,618,4,0.65,38,6.15,17,2.75,360,58.25,312,57.35,127761.66,6462.85,10029.29,507.33,0.19,0.21,5.47,44.66,90.64,1.65,2.93,40.29,285.93,8.25,0.33,161.3,8.79,1.85,7.21,0.04,8.52,0.11,127.76,6.46,10.87,84.08,13.5,0.0,27,208,33,0,-99999.0,573,7,580,93.85,8.73,91.27,606,12,98.06,1.94,0.0,0.11,0.15,0.37,0.01,0.1,45.73,60371907002,"Los Angeles, CA",6,37,190700,40971
060371907003,41032,LACA,136.05,1.09,91.87,2.25,5096.17,0.29,5101.72,0.01,1.1,5.01,1230,8,0.65,88,7.15,69,5.61,640,52.03,641,43.08,255300.31,12914.41,20041.07,1013.78,0.39,0.45,10.92,89.25,181.12,3.29,5.86,80.51,571.37,16.49,0.64,223.64,12.19,2.57,10.0,0.06,11.81,0.15,255.3,12.91,24.2,67.72,32.06,0.0,27,76,36,0,-99999.0,1042,63,1105,89.84,13.62,86.38,1230,0,100.0,0.0,0.0,0.24,0.34,0.82,0.02,0.23,91.02,60371907003,"Los Angeles, CA",6,37,190700,40972
060371908011,41033,LACA,146.17,1.44,121.13,1.81,4674.83,0.23,4422.64,0.02,1.53,5.19,1443,11,0.76,108,7.48,138,9.56,1037,71.86,1201,73.82,235621.6,11918.96,18496.3,935.64,0.31,0.36,10.08,82.38,167.15,3.05,5.41,73.98,525.02,15.22,0.54,245.72,13.39,2.83,10.98,0.06,12.97,0.16,235.62,11.92,18.91,74.59,25.4,0.0,21,84,28,0,-99999.0,1346,52,1398,96.88,22.57,77.43,1118,325,77.48,22.52,0.0,0.19,0.26,0.64,0.02,0.18,106.78,60371908011,"Los Angeles, CA",6,37,190801,40973
060371908012,41034,LACA,109.01,1.07,90.3,1.35,3491.74,0.17,3296.74,0.01,1.14,3.87,1151,3,0.26,86,7.47,233,20.24,613,53.26,619,53.32,220433.85,11150.68,17304.06,875.33,0.3,0.34,9.43,77.1,156.54,2.85,5.06,69.21,491.18,14.24,0.53,248.72,13.56,2.86,11.12,0.06,13.13,0.16,220.43,11.15,17.69,77.39,22.25,0.0,25,109,31,0,-99999.0,1128,0,1128,98.0,3.54,96.46,143,1008,12.42,87.58,0.0,0.18,0.25,0.6,0.01,0.17,85.17,60371908012,"Los Angeles, CA",6,37,190801,40974
060371908021,41035,LACA,81.69,1.25,105.26,1.4,3369.03,0.18,3228.35,0.02,1.44,3.15,1450,14,0.97,183,12.62,128,8.83,1004,69.24,762,41.78,166580.78,8426.52,13076.59,661.48,0.23,0.27,7.13,58.23,118.18,2.15,3.83,52.38,371.76,10.76,0.39,183.26,9.99,2.11,8.19,0.05,9.68,0.12,166.58,8.43,13.55,77.85,19.86,0.0,15,86,22,0,-99999.0,1093,94,1187,81.86,16.83,83.17,1450,0,100.0,0.0,0.0,0.14,0.19,0.46,0.01,0.13,107.3,60371908021,"Los Angeles, CA",6,37,190802,40975
060371908022,41036,LACA,33.71,0.52,43.44,0.58,1390.29,0.07,1332.25,0.01,0.6,1.3,679,4,0.59,63,9.28,27,3.98,423,62.3,349,54.7,224225.02,11342.46,17601.66,890.38,0.21,0.24,9.59,78.38,159.07,2.89,5.15,70.51,500.4,14.48,0.37,282.77,15.41,3.25,12.64,0.07,14.93,0.19,224.23,11.34,11.95,83.28,16.36,0.0,43,299,59,0,-99999.0,470,13,483,71.13,9.75,90.25,678,1,99.85,0.15,0.0,0.12,0.17,0.41,0.01,0.11,50.25,60371908022,"Los Angeles, CA",6,37,190802,40976
060371908023,41037,LACA,24.4,0.37,31.43,0.42,1007.8,0.05,963.79,0.01,0.43,0.94,655,4,0.61,48,7.33,26,3.97,386,58.93,695,81.48,57021.35,2884.44,4476.18,226.43,0.16,0.18,2.44,19.94,40.49,0.74,1.31,17.93,127.25,3.68,0.26,69.57,3.79,0.8,3.11,0.02,3.67,0.05,57.02,2.88,8.96,84.84,13.07,0.0,11,107,17,0,-99999.0,634,0,634,96.79,0.0,100.0,655,0,100.0,0.0,0.0,0.09,0.13,0.31,0.01,0.08,48.47,60371908023,"Los Angeles, CA",6,37,190802,40977
060371909011,41038,LACA,39.42,1.05,87.98,0.72,1852.71,0.09,1441.43,0.02,1.22,1.62,859,14,1.63,146,17.0,31,3.61,792,92.2,446,55.82,43448.5,2197.85,3410.71,172.53,0.21,0.24,1.86,15.18,30.82,0.55,1.0,13.79,97.87,2.81,0.42,58.8,3.2,0.68,2.63,0.02,3.1,0.04,43.45,2.2,12.53,82.74,17.26,0.0,7,43,9,0,-99999.0,789,0,789,91.85,23.99,76.01,859,0,100.0,0.0,0.0,0.13,0.18,0.43,0.01,0.12,63.57,60371909011,"Los Angeles, CA",6,37,190901,40978
060371909012,41039,LACA,141.97,3.77,316.62,2.6,6662.89,0.33,5186.23,0.06,4.4,5.84,2589,46,1.78,458,17.69,91,3.51,2270,87.68,1576,57.43,220433.85,11150.68,17304.06,875.33,0.25,0.29,9.43,77.05,156.36,2.81,5.06,69.97,496.55,14.24,0.43,240.05,13.08,2.76,10.73,0.06,12.67,0.16,220.43,11.15,15.05,77.76,21.49,0.0,11,57,16,0,-99999.0,2342,136,2478,95.71,29.15,70.85,2581,8,99.69,0.31,0.0,0.15,0.21,0.52,0.01,0.14,191.59,60371909012,"Los Angeles, CA",6,37,190901,40979
