OBJECTID,BG20,CT20,LABEL,ShapeSTArea,ShapeSTLength
22925,4042012,404201,BG 2,4881755.16812534,10785.7551970318
22926,4042031,404203,BG 1,3428625.34560793,7911.12962710988
22927,4042032,404203,BG 2,3512909.04556896,7977.29970008466
22928,4043011,404301,BG 1,3630248.03404791,11175.4854994584
22929,4043012,404301,BG 2,3004803.91397248,6951.89655287252
22930,4043013,404301,BG 3,3528534.73668995,8152.41073844127
22931,4043014,404301,BG 4,1756682.44221066,7001.18448536601
22932,4043021,404302,BG 1,3844321.33072664,9014.68658135083
22933,4043022,404302,BG 2,2783380.56837049,7321.4831287006
22934,4044011,404401,BG 1,3699965.31535714,8936.09671096458
22935,4044012,404401,BG 2,7793394.48545034,13833.1157582676
22936,4044013,404401,BG 3,4119169.91688127,12664.2436882184
22937,4044021,404402,BG 1,26347364.4853123,23940.4304044164
22938,4044022,404402,BG 2,4480807.56438925,10006.7148275675
22939,4044023,404402,BG 3,2897102.34177968,6990.27474796421
22940,4044024,404402,BG 4,2506688.95787218,6411.46259540648
22941,4045011,404501,BG 1,4486079.04388705,13352.2712854253
22942,4045012,404501,BG 2,4180782.32799451,10046.5148118338
22943,4045031,404503,BG 1,7069231.20772162,10733.0283827888
22944,4045041,404504,BG 1,3285120.84692502,7836.97741162306
22945,4045042,404504,BG 2,3951239.88246846,8280.06858485789
22946,4046001,404600,BG 1,267921347.089481,131670.40718621
22947,4047011,404701,BG 1,4632115.53617762,8926.11901038886
22948,4047012,404701,BG 2,2728366.54737834,8111.90621309429
22949,4047013,404701,BG 3,11015572.5427456,18902.3957472631
22950,4047021,404702,BG 1,4809580.15721866,10640.50128103
22951,4047022,404702,BG 2,4449297.56026001,11241.7314185282
22952,4047023,404702,BG 3,3186957.39210322,9823.75719641636
22953,4047031,404703,BG 1,5477734.40860124,12561.7311462242
22954,4047032,404703,BG 2,8353575.39553329,14691.6507733633
22955,4048041,404804,BG 1,3755938.02588231,8140.38733263411
22956,4048042,404804,BG 2,4708874.22224627,8602.9487517627
22957,4048043,404804,BG 3,1731884.40622948,5417.27000530655
22958,4048051,404805,BG 1,2454214.34512913,6980.59316222102
22959,4048052,404805,BG 2,2375533.42884429,7018.8869084443
22960,4048061,404806,BG 1,5243307.88439287,14031.1723334993
22961,4048062,404806,BG 2,6434831.17591053,12409.5938960593
22962,4048063,404806,BG 3,4784662.36082372,11055.7030936245
22963,4049011,404901,BG 1,5285605.67345074,9286.86542177055
22964,4049012,404901,BG 2,3512917.23764557,7954.75196691154
22965,4049013,404901,BG 3,3491817.89254908,7932.95161666216
22966,4049021,404902,BG 1,3726603.34695152,11727.0957444143
22967,4049022,404902,BG 2,3720731.81331344,7891.30162489
22968,4049031,404903,BG 1,2199057.93954964,5960.95861891887
22969,4049032,404903,BG 2,3671111.52936731,7894.57039836844
22970,4050011,405001,BG 1,7023354.61900998,10690.555993108
22971,4050012,405001,BG 2,3465767.21060814,7899.29882852126
22972,4050013,405001,BG 3,3506203.40405207,7938.29807054699
22973,4050014,405001,BG 4,4346404.06058799,8565.31660896761
22974,4050021,405002,BG 1,4977914.13121635,9210.2453921073
22975,4050022,405002,BG 2,4548645.28600177,8883.75485357558
22976,4051011,405101,BG 1,5068690.19038671,9496.01173451246
22977,4051012,405101,BG 2,3541914.15515194,7962.22560336902
22978,4051013,405101,BG 3,3457846.94324926,7910.81724027533
22979,4051021,405102,BG 1,6439588.79317458,11873.7820193919
22980,4051022,405102,BG 2,3913018.97193122,8507.45201528676
22981,4052011,405201,BG 1,5833517.8333485,13947.7187272069
22982,4052012,405201,BG 2,4537688.56262129,13634.2057573703
22983,4052013,405201,BG 3,4242913.62066908,10337.2586759038
22984,4052021,405202,BG 1,3021876.51470196,9651.13569122536
22985,4052022,405202,BG 2,2971088.07289069,9539.1975001403
22986,4052023,405202,BG 3,4267675.80874976,10286.9591267442
22987,4052031,405203,BG 1,3971648.90169945,9525.07235356774
22988,4052032,405203,BG 2,3769421.29730063,8518.47716573643
22989,4053011,405301,BG 1,5329703.14471324,14575.4493381445
22990,4053012,405301,BG 2,3554214.21593196,7704.08579149533
22991,4053021,405302,BG 1,5818708.93013806,12854.475367815
22992,4053022,405302,BG 2,6383380.15361964,12457.6090120494
22993,4053023,405302,BG 3,7119463.47145625,12638.7472123223
22994,4054001,405400,BG 1,2749959.60887339,7431.68406021331
22995,4054002,405400,BG 2,4626544.14582374,10363.8221907435
22996,4054003,405400,BG 3,4403317.4502016,10705.8990546507
22997,4054004,405400,BG 4,2523785.7335108,6865.46477627672
22998,4055001,405500,BG 1,3833477.84704906,8233.63571667383
22999,4055002,405500,BG 2,5164891.23800069,12033.0643979936
23000,4055003,405500,BG 3,4072789.56806931,9637.07970781294
23001,4055004,405500,BG 4,3268714.61237601,8026.18818612183
23002,4055005,405500,BG 5,3733056.28577395,8017.26410606157
23003,4056001,405600,BG 1,6737975.53971666,13054.8296751829
23004,4056002,405600,BG 2,3554868.81248922,8081.27029368562
23005,4056003,405600,BG 3,2718180.65173827,8154.01089860225
23006,4056004,405600,BG 4,4248390.11065814,10502.4774235269
23007,4056005,405600,BG 5,5354126.92619987,9349.98185011549
23008,4057011,405701,BG 1,3280707.00291322,7884.56631094724
23009,4057012,405701,BG 2,4327350.60188188,10050.8631198866
23010,4057013,405701,BG 3,3628158.44551506,8052.72488120941
23011,4057021,405702,BG 1,7501622.34694616,11033.7415754495
23012,4057022,405702,BG 2,7317498.14266472,10823.9977326582
23013,4058001,405800,BG 1,6076466.66525576,9948.51796010759
23014,4058002,405800,BG 2,7088167.93578865,10628.4878485789
23015,4058003,405800,BG 3,7235978.29573245,10770.9169420401
23016,4059001,405900,BG 1,7066811.74982786,10621.8980736678
23017,4059002,405900,BG 2,7140949.10194229,10688.3010413745
23018,4060001,406000,BG 1,4739418.87204167,12826.6586258505
23019,4060002,406000,BG 2,6182580.06259258,10928.0162718685
23020,4060003,406000,BG 3,3996351.78421428,9903.08752875008
23021,4060004,406000,BG 4,5627160.08727741,11323.8295370008
23022,4061011,406101,BG 1,3081830.12942771,8984.84215697071
23023,4061012,406101,BG 2,7706964.02422175,13723.8478293981
23024,4061013,406101,BG 3,4152339.64227804,8518.71837220147
23025,4061031,406103,BG 1,4653381.75484534,9373.17093921138
23026,4061032,406103,BG 2,11655861.1701123,17635.3305318602
23027,4061033,406103,BG 3,4429073.49409916,9345.30168701523
23028,4061034,406103,BG 4,3043947.66466135,7084.09381139062
23029,4062011,406201,BG 1,3490448.30168675,7886.1546227483
23030,4062012,406201,BG 2,5124102.5822164,10516.5165590581
23031,4063001,406300,BG 1,18138110.6735271,23277.8616538257
23032,4063002,406300,BG 2,13975580.0772311,15891.6801284733
23033,4063003,406300,BG 3,25905101.0889135,23981.8270879461
23034,4064131,406413,BG 1,4666606.01210749,9492.36682414192
23035,4064132,406413,BG 2,5860132.48123842,11973.7282235442
23036,4064133,406413,BG 3,6098895.40598273,12900.9184126346
23037,4064134,406413,BG 4,7028157.78796117,13277.1056887529
23038,4064135,406413,BG 5,6995859.89288988,10581.6431382264
23039,4064136,406413,BG 6,3538813.92176574,7991.36172737902
23040,4065001,406500,BG 1,3361928.91704039,8268.30243751491
23041,4065002,406500,BG 2,7402716.12214271,10801.3529316681
23042,4065003,406500,BG 3,5289532.8864399,10966.0076930448
23043,4065004,406500,BG 4,5972919.63145711,10713.0635092485
23044,4066011,406601,BG 1,7143824.60097662,10689.8315126312
23045,4066012,406601,BG 2,7054964.08607535,13337.8736760881
23046,4066013,406601,BG 3,6986406.03105259,10571.2233556055
23047,4066021,406602,BG 1,6894266.63335267,10868.8200462093
23048,4066022,406602,BG 2,4538700.3712983,9632.43870874833
23049,4066023,406602,BG 3,5684557.15104943,9577.09657889344
23050,4067011,406701,BG 1,4365330.1970069,11110.4785896385
23051,4067012,406701,BG 2,5786331.56816883,13235.3370044648
23052,4067021,406702,BG 1,8401060.57252075,13006.5040252447
23053,4067022,406702,BG 2,3791880.05427847,8522.3130881179
23054,4067023,406702,BG 3,5222225.71959549,9498.5923752677
23055,4067024,406702,BG 4,12969751.5037349,15805.0192836977
23056,4068011,406801,BG 1,5392586.88317517,11053.3006392521
23057,4068012,406801,BG 2,7438509.24411391,12739.5249664562
23058,4068013,406801,BG 3,5950708.87402589,12415.0794014107
23059,4069031,406903,BG 1,1970121.43974244,6002.2889122273
23060,4069032,406903,BG 2,2121648.12574795,6660.98406990243
23061,4069033,406903,BG 3,3951065.40908214,10357.7223130643
23062,4069034,406903,BG 4,5398701.06268921,11198.0978685102
23063,4069035,406903,BG 5,4114109.03059292,8423.27288458431
23064,4069036,406903,BG 6,3558239.33498132,7550.04034254618
23065,4070011,407001,BG 1,2225140.0467651,7419.04606882756
23066,4070012,407001,BG 2,4014876.30133109,9066.81520272599
23067,4070013,407001,BG 3,4438443.89962704,8841.61335757673
23068,4070021,407002,BG 1,5664212.45369366,9616.70941606028
23069,4070022,407002,BG 2,28692786.0266573,26703.9556489787
23070,4071011,407101,BG 1,4139685.18827495,8072.03598674973
23071,4071012,407101,BG 2,3728485.12425656,7896.76584627132
23072,4071013,407101,BG 3,4351506.88733668,8364.01009129572
23073,4071021,407102,BG 1,2947980.29958262,6878.03414871304
23074,4071022,407102,BG 2,4121452.75419868,9289.22448465208
23075,4071023,407102,BG 3,2861569.88074863,7386.26910355973
23076,4072011,407201,BG 1,4597364.6929037,8680.59349731033
23077,4072012,407201,BG 2,2365673.20620786,6248.53657576808
23078,4072021,407202,BG 1,3523509.34705449,7605.20987802844
23079,4072022,407202,BG 2,5178100.52518288,9684.76282979597
23080,4073011,407301,BG 1,2360880.06164226,6389.11467877654
23081,4073012,407301,BG 2,2715283.89717429,8973.41254855381
23082,4073013,407301,BG 3,3414836.73378426,8765.07405746175
23083,4073014,407301,BG 4,2160398.96385679,6502.5485005068
23084,4073021,407302,BG 1,2525949.4697779,6757.6592119
23085,4073022,407302,BG 2,3025465.69464487,7220.75903886219
23086,4073023,407302,BG 3,3100960.15632127,7440.26219706798
23087,4074001,407400,BG 1,6540440.3118023,10298.1795222273
23088,4075011,407501,BG 1,2997508.09347343,8162.90161384619
23089,4075012,407501,BG 2,4219987.26202155,13191.6080023048
23090,4075013,407501,BG 3,2922550.40345379,7092.93082754413
23091,4075014,407501,BG 4,2037280.30890343,6456.80554310581
23092,4075021,407502,BG 1,3186507.28480039,8832.97397224927
23093,4075022,407502,BG 2,4425259.35119895,8415.64719614567
23094,4075023,407502,BG 3,3473100.25399767,8250.84239530567
23095,4076011,407601,BG 1,4038588.00093056,9934.67925187432
23096,4076012,407601,BG 2,2950813.17301262,9795.96452922752
23097,4076013,407601,BG 3,1419315.26808359,5478.81132834827
23098,4076021,407602,BG 1,3658708.40275107,8179.90757041297
23099,4076022,407602,BG 2,2306437.32716773,7020.58951504339
23100,4076023,407602,BG 3,2281531.95484603,8671.48537784516
23101,4076024,407602,BG 4,1813442.33972121,5693.61301129081
23102,4077011,407701,BG 1,6000266.55833613,12215.3786961639
23103,4077012,407701,BG 2,3747712.73077376,8702.87274899002
23104,4077013,407701,BG 3,2543966.28200448,6481.61501815564
23105,4077021,407702,BG 1,7531885.11006231,16427.4472878924
23106,4077022,407702,BG 2,5481512.42904581,12813.6529093113
23107,4077023,407702,BG 3,2836475.93840705,9152.41091516722
23108,4077024,407702,BG 4,5697915.85260138,13191.6501758533
23109,4078011,407801,BG 1,3141331.48891428,7852.22082778523
23110,4078012,407801,BG 2,5189293.16731279,9968.91057284372
23111,4078013,407801,BG 3,3203898.78722127,8657.82306638178
23112,4078021,407802,BG 1,25867929.2471614,30918.4085341484
23113,4078022,407802,BG 2,3296044.18887794,8205.24734589847
23114,4078023,407802,BG 3,4564046.34953823,8923.79102169687
23115,4079011,407901,BG 1,3567129.17341048,7972.94011348004
23116,4079012,407901,BG 2,3264783.59039756,8032.91247323383
23117,4079013,407901,BG 3,4204299.89164314,8673.19910607664
23118,4079021,407902,BG 1,5067133.1341403,9664.98660647933
23119,4080031,408003,BG 1,6170596.50184489,10980.1489005383
23120,4080032,408003,BG 2,8522073.45307323,14615.9954193364
23121,4080041,408004,BG 1,6690367.15982717,11890.2032765503
23122,4080051,408005,BG 1,20559742.6210853,19904.0508989483
23123,4080052,408005,BG 2,9667107.82268275,13922.2035837838
23124,4080053,408005,BG 3,9433890.30475503,15033.3958050242
23125,4080061,408006,BG 1,35771303.0782091,25486.5054584463
23126,4081331,408133,BG 1,3587698.19757721,10019.2589617634
23127,4081332,408133,BG 2,3048304.9199381,7256.78380675439
23128,4081333,408133,BG 3,4739721.26232618,12071.8153047276
23129,4081341,408134,BG 1,9515502.34933012,12212.8547465369
23130,4081351,408135,BG 1,7910110.54887143,12379.8500367192
23131,4081352,408135,BG 2,4228438.38181722,9418.64540619616
23132,4081361,408136,BG 1,6025331.04159992,12864.0677196861
23133,4081362,408136,BG 2,4835925.32626997,10217.7273790926
23134,4081371,408137,BG 1,2913548.37829161,7698.5878180035
23135,4081372,408137,BG 2,2902092.60975261,8151.33802092147
23136,4081373,408137,BG 3,3126854.58354924,8995.31566934681
23137,4081381,408138,BG 1,3346243.67953915,8182.4081287958
23138,4081382,408138,BG 2,3614620.12514158,8237.43765648375
23139,4081383,408138,BG 3,2672758.52736876,7228.93186677484
23140,4081391,408139,BG 1,3371660.98822965,8398.50943110053
23141,4081392,408139,BG 2,5071624.10919665,11447.3653291495
23142,4081401,408140,BG 1,7633720.2070711,12470.8377008846
23143,4081402,408140,BG 2,2191719.50096992,6990.28231730914
23144,4081411,408141,BG 1,2059224.67958345,9558.97680824641
23145,4081412,408141,BG 2,5386614.90006313,11502.2220544536
23146,4081413,408141,BG 3,4651636.10182562,10330.5134294058
23147,4082121,408212,BG 1,10737521.9083124,15027.5307338558
23148,4082122,408212,BG 2,19952064.9804665,24112.087067728
23149,4082131,408213,BG 1,8255962.38595196,15380.077819632
23150,4082132,408213,BG 2,4861239.18194913,9621.2408133838
23151,4082133,408213,BG 3,3546838.39523113,7581.02896575724
23152,4083011,408301,BG 1,6391938.39361038,11587.4481108995
23153,4083012,408301,BG 2,9913574.57372947,15322.1386881216
23154,4083013,408301,BG 3,6231344.49605024,10299.1887983107
23155,4083014,408301,BG 4,6714724.37003135,13844.559089637
23156,4083021,408302,BG 1,36562956.3239876,32533.1094153217
23157,4083031,408303,BG 1,11820143.73129,22815.8243757757
23158,4083032,408303,BG 2,8909827.85561411,15122.5670493368
23159,4084011,408401,BG 1,6742154.21738058,14077.9699564405
23160,4084012,408401,BG 2,5731153.35880474,11567.1490238625
23161,4084021,408402,BG 1,6768731.93469131,12123.102630876
23162,4084022,408402,BG 2,18874388.8299075,34769.6555286249
23163,4084023,408402,BG 3,98897727.1031259,55120.9208469701
23164,4085031,408503,BG 1,7537715.34161204,13598.3081283341
23165,4085032,408503,BG 2,5686041.22888468,10124.5059512546
23166,4085033,408503,BG 3,23775658.3201481,40869.1109425508
23167,4085034,408503,BG 4,8245572.51208443,13821.3101534611
23168,4085041,408504,BG 1,5012093.48194787,9489.23484624366
23169,4085042,408504,BG 2,6709200.69537561,10340.037402142
23170,4085043,408504,BG 3,3540956.22746113,8052.94164497174
23171,4085051,408505,BG 1,13221070.2850965,20819.5982278113
23172,4085052,408505,BG 2,8202400.74993677,17508.9056872502
23173,4086231,408623,BG 1,10335916.356402,13628.9099422396
23174,4086241,408624,BG 1,9825364.91724152,16970.6823502127
23175,4086242,408624,BG 2,5020304.94421591,9452.07913693112
23176,4086251,408625,BG 1,6728484.84024628,16384.6153726986
23177,4086252,408625,BG 2,7728678.09982624,11846.1773412092
23178,4086253,408625,BG 3,8671993.41399972,15591.6090870804
23179,4086261,408626,BG 1,3380399.06724282,9468.91972579483
23180,4086262,408626,BG 2,4154617.19250779,13455.4973423149
23181,4086263,408626,BG 3,19340316.4785691,25969.1048126061
23182,4086271,408627,BG 1,28519154.995597,31248.4682877204
23183,4086272,408627,BG 2,5124135.96011223,12560.4352751527
23184,4086281,408628,BG 1,14923876.7367681,17759.2516923262
23185,4086282,408628,BG 2,7266709.26187801,17583.6280159344
23186,4086283,408628,BG 3,3206015.06093104,8170.04808042062
23187,4086291,408629,BG 1,10840431.2827333,16219.9321070126
23188,4086292,408629,BG 2,8241986.45128451,14808.5426862878
23189,4086311,408631,BG 1,5599131.44897611,10261.3608757845
23190,4086312,408631,BG 2,4520539.60762239,10248.498277794
23191,4086313,408631,BG 3,5775383.5733749,11276.6533329412
23192,4087031,408703,BG 1,116130576.631653,57007.5498214987
23193,4087032,408703,BG 2,28381646.2197129,22074.7756666255
23194,4087033,408703,BG 3,39677036.4366433,28240.9729535313
23195,4087051,408705,BG 1,4563207.56144174,10990.8729485355
23196,4087052,408705,BG 2,8123850.83782932,12518.2482425085
23197,4087053,408705,BG 3,8066674.20819351,14697.3139574504
23198,4087071,408707,BG 1,16991659.1302765,17706.7754162544
23199,4087072,408707,BG 2,14044665.09088,17808.4869127874
23200,4087073,408707,BG 3,22270445.387159,20313.2665184344
23201,4087221,408722,BG 1,10282190.5124032,15473.6532136316
23202,4087222,408722,BG 2,12382661.897236,17186.7342369637
23203,4087241,408724,BG 1,2127957.23021895,6386.56080688247
23204,4087242,408724,BG 2,2177227.80209896,7006.2001903962
23205,4087243,408724,BG 3,1438394.83324884,5506.38424960004
23206,4087251,408725,BG 1,4540090.60334056,9593.98351818094
